data,scorecard
"May 08, 2019, Eliminator, Sunrisers vs Capitals
Capitals won by 2 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-delhi-capitals-eliminator-1181766/full-scorecard
"May 04, 2019, 54th Match, Sunrisers vs RCB
RCB won by 4 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/royal-challengers-bangalore-vs-sunrisers-hyderabad-54th-match-1178429/full-scorecard
"May 02, 2019, 51st Match, Sunrisers vs Mumbai
Match tied (Mumbai won the one-over eliminator)",https://www.espncricinfo.com/series/ipl-2019-1165643/mumbai-indians-vs-sunrisers-hyderabad-51st-match-1178426/full-scorecard
"April 29, 2019, 48th Match, Sunrisers vs Kings XI
Sunrisers won by 45 runs",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423/full-scorecard
"April 27, 2019, 45th Match, Sunrisers vs Royals
Royals won by 7 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/rajasthan-royals-vs-sunrisers-hyderabad-45th-match-1178420/full-scorecard
"April 23, 2019, 41st Match, Sunrisers vs Super Kings
Super Kings won by 6 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416/full-scorecard
"April 21, 2019, 38th Match, Sunrisers vs KKR
Sunrisers won by 9 wickets (with 30 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-kolkata-knight-riders-38th-match-1178413/full-scorecard
"April 17, 2019, 33rd Match, Sunrisers vs Super Kings
Sunrisers won by 6 wickets (with 19 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-chennai-super-kings-33rd-match-1178408/full-scorecard
"April 14, 2019, 30th Match, Sunrisers vs Capitals
Capitals won by 39 runs",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-delhi-capitals-30th-match-1178405/full-scorecard
"April 08, 2019, 22nd Match, Sunrisers vs Kings XI
Kings XI won by 6 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/kings-xi-punjab-vs-sunrisers-hyderabad-22nd-match-1178397/full-scorecard
"April 06, 2019, 19th Match, Sunrisers vs Mumbai
Mumbai won by 40 runs",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-mumbai-indians-19th-match-1178394/full-scorecard
"April 04, 2019, 16th Match, Sunrisers vs Capitals
Sunrisers won by 5 wickets (with 9 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/delhi-capitals-vs-sunrisers-hyderabad-16th-match-1175371/full-scorecard
"March 31, 2019, 11th Match, Sunrisers vs RCB
Sunrisers won by 118 runs",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-royal-challengers-bangalore-11th-match-1175366/full-scorecard
"March 29, 2019, 8th Match, Sunrisers vs Royals
Sunrisers won by 5 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-rajasthan-royals-8th-match-1175363/full-scorecard
"March 24, 2019, 2nd Match, Sunrisers vs KKR
KKR won by 6 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/ipl-2019-1165643/kolkata-knight-riders-vs-sunrisers-hyderabad-2nd-match-1175357/full-scorecard
