data,scorecard
"May 24, 2014, 54th match, Sunrisers vs KKR
KKR won by 4 wickets (with 34 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kolkata-knight-riders-vs-sunrisers-hyderabad-54th-match-734037/full-scorecard
"May 22, 2014, 50th match, Sunrisers vs Super Kings
Sunrisers won by 6 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-sunrisers-hyderabad-50th-match-734029/full-scorecard
"May 20, 2014, 46th match, Sunrisers vs RCB
Sunrisers won by 7 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021/full-scorecard
"May 18, 2014, 43rd match, Sunrisers vs KKR
KKR won by 7 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015/full-scorecard
"May 14, 2014, 39th match, Sunrisers vs Kings XI
Kings XI won by 6 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007/full-scorecard
"May 12, 2014, 36th match, Sunrisers vs Mumbai
Mumbai won by 7 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-mumbai-indians-36th-match-734001/full-scorecard
"May 10, 2014, 32nd match, Sunrisers vs Daredevils
Sunrisers won by 8 wickets (with 4 balls remaining) (D/L method)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/delhi-daredevils-vs-sunrisers-hyderabad-32nd-match-733993/full-scorecard
"May 08, 2014, 30th match, Sunrisers vs Royals
Sunrisers won by 32 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/rajasthan-royals-vs-sunrisers-hyderabad-30th-match-733989/full-scorecard
"May 04, 2014, 24th match, Sunrisers vs RCB
RCB won by 4 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/royal-challengers-bangalore-vs-sunrisers-hyderabad-24th-match-733977/full-scorecard
"April 30, 2014, 20th match, Sunrisers vs Mumbai
Sunrisers won by 15 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/mumbai-indians-vs-sunrisers-hyderabad-20th-match-729317/full-scorecard
"April 27, 2014, 17th match, Sunrisers vs Super Kings
Super Kings won by 5 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-chennai-super-kings-17th-match-729311/full-scorecard
"April 25, 2014, 12th match, Sunrisers vs Daredevils
Sunrisers won by 4 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-delhi-daredevils-12th-match-729301/full-scorecard
"April 22, 2014, 9th match, Sunrisers vs Kings XI
Kings XI won by 72 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295/full-scorecard
"April 18, 2014, 4th match, Sunrisers vs Royals
Royals won by 4 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-729285/full-scorecard
