data,scorecard
"May 24, 2013, Qualifier 2, Royals vs Mumbai
Mumbai won by 4 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/mumbai-indians-vs-rajasthan-royals-qualifier-2-598072/full-scorecard
"May 22, 2013, Eliminator, Royals vs Sunrisers
Royals won by 4 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-sunrisers-hyderabad-eliminator-598071/full-scorecard
"May 17, 2013, 68th match, Royals vs Sunrisers
Sunrisers won by 23 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065/full-scorecard
"May 15, 2013, 66th match, Royals vs Mumbai
Mumbai won by 14 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/mumbai-indians-vs-rajasthan-royals-66th-match-598063/full-scorecard
"May 12, 2013, 61st match, Royals vs Super Kings
Royals won by 5 wickets (with 17 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-chennai-super-kings-61st-match-598058/full-scorecard
"May 09, 2013, 55th match, Royals vs Kings XI
Royals won by 8 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kings-xi-punjab-vs-rajasthan-royals-55th-match-598052/full-scorecard
"May 07, 2013, 52nd match, Royals vs Daredevils
Royals won by 9 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-delhi-daredevils-52nd-match-598049/full-scorecard
"May 05, 2013, 50th match, Royals vs Warriors
Royals won by 5 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-pune-warriors-50th-match-598047/full-scorecard
"May 03, 2013, 47th match, Royals vs KKR
KKR won by 8 wickets (with 16 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kolkata-knight-riders-vs-rajasthan-royals-47th-match-598043/full-scorecard
"April 29, 2013, 40th match, Royals vs RCB
Royals won by 4 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-royal-challengers-bangalore-40th-match-598036/full-scorecard
"April 27, 2013, 36th match, Royals vs Sunrisers
Royals won by 8 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-sunrisers-hyderabad-36th-match-598032/full-scorecard
"April 22, 2013, 30th match, Royals vs Super Kings
Super Kings won by 5 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-rajasthan-royals-30th-match-598026/full-scorecard
"April 20, 2013, 27th match, Royals vs RCB
RCB won by 7 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-rajasthan-royals-27th-match-598023/full-scorecard
"April 17, 2013, 23rd match, Royals vs Mumbai
Royals won by 87 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-mumbai-indians-23rd-match-598019/full-scorecard
"April 14, 2013, 18th match, Royals vs Kings XI
Royals won by 6 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-kings-xi-punjab-18th-match-598014/full-scorecard
"April 11, 2013, 13th match, Royals vs Warriors
Warriors won by 7 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-rajasthan-royals-13th-match-598009/full-scorecard
"April 08, 2013, 8th match, Royals vs KKR
Royals won by 19 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-kolkata-knight-riders-8th-match-598005/full-scorecard
"April 06, 2013, 4th match, Royals vs Daredevils
Royals won by 5 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/delhi-daredevils-vs-rajasthan-royals-4th-match-598001/full-scorecard
