TEAMS,M,W,L,PT,NRR
CHENNAI SUPER KINGS,14,9,5,18,0.709
MUMBAI INDIANS,14,8,6,16,-0.043
ROYAL CHALLENGERS BANGALORE,14,7,5,16,1.037
RAJASTHAN ROYALS,14,7,5,16,0.062
KOLKATA KNIGHT RIDERS,14,7,6,15,0.253
SUNRISERS HYDERABAD,14,7,7,14,-0.239
DELHI DAREDEVILS,14,5,8,11,-0.049
KINGS XI PUNJAB,14,3,11,6,-1.436
