TEAMS,M,W,L,PT,NRR
DELHI DAREDEVILS,14,10,4,20,0.311
CHENNAI SUPER KINGS,14,8,5,17,0.951
ROYAL CHALLENGERS BANGALORE,14,8,6,16,-0.191
DECCAN CHARGERS,14,7,7,14,0.203
KINGS XI PUNJAB,14,7,7,14,-0.483
RAJASTHAN ROYALS,14,6,7,13,-0.352
MUMBAI INDIANS,14,5,8,11,0.297
KOLKATA KNIGHT RIDERS,14,3,10,7,-0.789
