TEAMS,M,W,L,PT,NRR
ROYAL CHALLENGERS BANGALORE,14,9,4,19,0.326
CHENNAI SUPER KINGS,14,9,5,18,0.443
MUMBAI INDIANS,14,9,5,18,0.040
KOLKATA KNIGHT RIDERS,14,8,6,16,0.433
KINGS XI PUNJAB,14,7,7,14,-0.051
RAJASTHAN ROYALS,14,6,7,13,-0.691
DECCAN CHARGERS,14,6,8,12,0.222
KOCHI TUSKERS KERALA,14,6,8,12,-0.214
PUNE WARRIORS,14,4,9,9,-0.134
DELHI DAREDEVILS,14,4,9,9,-0.448
