TEAMS,M,W,L,PT,NRR
MUMBAI INDIANS,14,10,4,20,0.784
RISING PUNE SUPERGIANT,14,9,5,18,0.176
SUNRISERS HYDERABAD,14,8,5,17,0.599
KOLKATA KNIGHT RIDERS,14,8,6,16,0.641
KINGS XI PUNJAB,14,7,7,14,-0.009
DELHI DAREDEVILS,14,6,8,12,-0.512
GUJARAT LIONS,14,4,10,8,-0.412
ROYAL CHALLENGERS BANGALORE,14,3,10,7,-1.299
