TEAMS,M,W,L,PT,NRR
MUMBAI INDIANS,14,10,4,20,1.084
DECCAN CHARGERS,14,8,6,16,-0.297
CHENNAI SUPER KINGS,14,7,7,14,0.268
ROYAL CHALLENGERS BANGALORE,14,7,7,14,0.224
DELHI DAREDEVILS,14,7,7,14,0.021
KOLKATA KNIGHT RIDERS,14,7,7,14,-0.341
RAJASTHAN ROYALS,14,6,8,12,-0.514
KINGS XI PUNJAB,14,4,10,8,-0.478
