TEAMS,M,W,L,PT,NRR
RAJASTHAN ROYALS,14,11,3,22,0.632
KINGS XI PUNJAB,14,10,4,20,0.509
CHENNAI SUPER KINGS,14,8,6,16,-0.192
DELHI DAREDEVILS,14,7,6,15,0.342
MUMBAI INDIANS,14,7,7,14,0.570
KOLKATA KNIGHT RIDERS,14,6,7,13,-0.147
ROYAL CHALLENGERS BANGALORE,14,4,10,8,-1.160
DECCAN CHARGERS,14,2,12,4,-0.467
