TEAMS,M,W,L,PT,NRR
KINGS XI PUNJAB,14,11,3,22,0.968
KOLKATA KNIGHT RIDERS,14,9,5,18,0.418
CHENNAI SUPER KINGS,14,9,5,18,0.385
MUMBAI INDIANS,14,7,7,14,0.095
RAJASTHAN ROYALS,14,7,7,14,0.060
SUNRISERS HYDERABAD,14,6,8,12,-0.399
ROYAL CHALLENGERS BANGALORE,14,5,9,10,-0.428
DELHI DAREDEVILS,14,2,12,4,-1.182
