TEAMS,M,W,L,PT,NRR
DELHI DAREDEVILS,16,11,5,22,0.617
KOLKATA KNIGHT RIDERS,16,10,5,21,0.561
MUMBAI INDIANS,16,10,6,20,-0.100
CHENNAI SUPER KINGS,16,8,7,17,0.100
ROYAL CHALLENGERS BANGALORE,16,8,7,17,-0.022
KINGS XI PUNJAB,16,8,8,16,-0.216
RAJASTHAN ROYALS,16,7,9,14,0.201
DECCAN CHARGERS,16,4,11,9,-0.509
PUNE WARRIORS,16,4,12,8,-0.551
