TEAMS,M,W,L,PT,NRR
SUNRISERS HYDERABAD,14,9,5,18,0.284
CHENNAI SUPER KINGS,14,9,5,18,0.253
KOLKATA KNIGHT RIDERS,14,8,6,16,-0.070
RAJASTHAN ROYALS,14,7,7,14,-0.250
MUMBAI INDIANS,14,6,8,12,0.317
ROYAL CHALLENGERS BANGALORE,14,6,8,12,0.129
KINGS XI PUNJAB,14,6,8,12,-0.502
DELHI DAREDEVILS,14,5,9,10,-0.222
