TEAMS,M,W,L,PT,NRR
GUJARAT LIONS,14,9,5,18,-0.374
ROYAL CHALLENGERS BANGALORE,14,8,6,16,0.932
SUNRISERS HYDERABAD,14,8,6,16,0.245
KOLKATA KNIGHT RIDERS,14,8,6,16,0.106
MUMBAI INDIANS,14,7,7,14,-0.146
DELHI DAREDEVILS,14,7,7,14,-0.155
RISING PUNE SUPERGIANTS,14,5,9,10,0.015
KINGS XI PUNJAB,14,4,10,8,-0.646
