TEAMS,M,W,L,PT,NRR
MUMBAI INDIANS,14,9,5,18,0.421
CHENNAI SUPER KINGS,14,9,5,18,0.131
DELHI CAPITALS,14,9,5,18,0.044
SUNRISERS HYDERABAD,14,6,8,12,0.577
KOLKATA KNIGHT RIDERS,14,6,8,12,0.028
KINGS XI PUNJAB,14,6,8,12,-0.251
RAJASTHAN ROYALS,14,5,8,11,-0.449
ROYAL CHALLENGERS BANGALORE,14,5,8,11,-0.607
