TEAMS,M,W,L,PT,NRR,YEAR,LOGO
GUJARAT LIONS,14,9,5,18,-0.374,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
ROYAL CHALLENGERS BANGALORE,14,8,6,16,0.932,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
SUNRISERS HYDERABAD,14,8,6,16,0.245,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
KOLKATA KNIGHT RIDERS,14,8,6,16,0.106,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
MUMBAI INDIANS,14,7,7,14,-0.146,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
DELHI DAREDEVILS,14,7,7,14,-0.155,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
RISING PUNE SUPERGIANTS,14,5,9,10,0.015,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313524.logo.png"
KINGS XI PUNJAB,14,4,10,8,-0.646,2016,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
