TEAMS,M,W,L,PT,NRR,YEAR,LOGO
GUJARAT TITANS,14,10,4,20,0.316,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/334700/334707.png"
RAJASTHAN ROYALS,14,9,5,18,0.298,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
LUCKNOW SUPER GIANTS,14,9,5,18,0.251,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png"
ROYAL CHALLENGERS BANGALORE,14,8,6,16,-0.253,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
DELHI CAPITALS,14,7,7,14,0.204,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
PUNJAB KINGS,14,7,7,14,0.126,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
KOLKATA KNIGHT RIDERS,14,6,8,12,0.146,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
SUNRISERS HYDERABAD,14,6,8,12,-0.379,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
CHENNAI SUPER KINGS,14,4,10,8,-0.203,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
MUMBAI INDIANS,14,4,10,8,-0.506,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
