TEAMS,M,W,L,PT,NRR,YEAR,LOGO
RAJASTHAN ROYALS,14,11,3,22,0.632,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
KINGS XI PUNJAB,14,10,4,20,0.509,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
CHENNAI SUPER KINGS,14,8,6,16,-0.192,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
DELHI DAREDEVILS,14,7,6,15,0.342,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
MUMBAI INDIANS,14,7,7,14,0.57,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
KOLKATA KNIGHT RIDERS,14,6,7,13,-0.147,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
ROYAL CHALLENGERS BANGALORE,14,4,10,8,-1.16,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
DECCAN CHARGERS,14,2,12,4,-0.467,2008,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
