TEAMS,M,W,L,PT,NRR,YEAR,LOGO
MUMBAI INDIANS,14,10,4,20,0.784,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
RISING PUNE SUPERGIANT,14,9,5,18,0.176,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313524.logo.png"
SUNRISERS HYDERABAD,14,8,5,17,0.599,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
KOLKATA KNIGHT RIDERS,14,8,6,16,0.641,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
KINGS XI PUNJAB,14,7,7,14,-0.009,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
DELHI DAREDEVILS,14,6,8,12,-0.512,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
GUJARAT LIONS,14,4,10,8,-0.412,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
ROYAL CHALLENGERS BANGALORE,14,3,10,7,-1.299,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
