TEAMS,M,W,L,PT,NRR,YEAR,LOGO
DELHI CAPITALS,14,10,4,20,0.481,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
CHENNAI SUPER KINGS,14,9,5,18,0.455,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
ROYAL CHALLENGERS BANGALORE,14,9,5,18,-0.14,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
KOLKATA KNIGHT RIDERS,14,7,7,14,0.587,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
MUMBAI INDIANS,14,7,7,14,0.116,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
PUNJAB KINGS,14,6,8,12,-0.001,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
RAJASTHAN ROYALS,14,5,9,10,-0.993,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
SUNRISERS HYDERABAD,14,3,11,6,-0.545,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
