TEAMS,M,W,L,PT,NRR,YEAR,LOGO
DELHI DAREDEVILS,14,10,4,20,0.311,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
CHENNAI SUPER KINGS,14,8,5,17,0.951,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
ROYAL CHALLENGERS BANGALORE,14,8,6,16,-0.191,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
DECCAN CHARGERS,14,7,7,14,0.203,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
KINGS XI PUNJAB,14,7,7,14,-0.483,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
RAJASTHAN ROYALS,14,6,7,13,-0.352,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
MUMBAI INDIANS,14,5,8,11,0.297,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
KOLKATA KNIGHT RIDERS,14,3,10,7,-0.789,2009,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
