TEAMS,M,W,L,PT,NRR,YEAR,LOGO
CHENNAI SUPER KINGS,16,11,5,22,0.53,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
MUMBAI INDIANS,16,11,5,22,0.441,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
RAJASTHAN ROYALS,16,10,6,20,0.322,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
SUNRISERS HYDERABAD,16,10,6,20,0.003,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
ROYAL CHALLENGERS BANGALORE,16,9,7,18,0.457,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
KINGS XI PUNJAB,16,8,8,16,0.226,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
KOLKATA KNIGHT RIDERS,16,6,10,12,-0.095,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
PUNE WARRIORS,16,4,12,8,-1.006,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
DELHI DAREDEVILS,16,3,13,6,-0.848,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
