TEAMS,M,W,L,PT,NRR,YEAR,LOGO
MUMBAI INDIANS,14,9,5,18,1.107,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
DELHI CAPITALS,14,8,6,16,-0.109,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
SUNRISERS HYDERABAD,14,7,7,14,0.608,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
ROYAL CHALLENGERS BANGALORE,14,7,7,14,-0.172,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
KOLKATA KNIGHT RIDERS,14,7,7,14,-0.214,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
KINGS XI PUNJAB,14,6,8,12,-0.162,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
CHENNAI SUPER KINGS,14,6,8,12,-0.455,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
RAJASTHAN ROYALS,14,6,8,12,-0.569,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
