TEAMS,M,W,L,PT,NRR,YEAR,LOGO
KINGS XI PUNJAB,14,11,3,22,0.968,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
KOLKATA KNIGHT RIDERS,14,9,5,18,0.418,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
CHENNAI SUPER KINGS,14,9,5,18,0.385,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
MUMBAI INDIANS,14,7,7,14,0.095,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
RAJASTHAN ROYALS,14,7,7,14,0.06,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
SUNRISERS HYDERABAD,14,6,8,12,-0.399,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
ROYAL CHALLENGERS BANGALORE,14,5,9,10,-0.428,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
DELHI DAREDEVILS,14,2,12,4,-1.182,2014,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
