TEAMS,M,W,L,PT,NRR,YEAR,LOGO
DELHI DAREDEVILS,16,11,5,22,0.617,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
KOLKATA KNIGHT RIDERS,16,10,5,21,0.561,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
MUMBAI INDIANS,16,10,6,20,-0.1,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
CHENNAI SUPER KINGS,16,8,7,17,0.1,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
ROYAL CHALLENGERS BANGALORE,16,8,7,17,-0.022,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
KINGS XI PUNJAB,16,8,8,16,-0.216,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
RAJASTHAN ROYALS,16,7,9,14,0.201,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
DECCAN CHARGERS,16,4,11,9,-0.509,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
PUNE WARRIORS,16,4,12,8,-0.551,2012,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
